"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51533","AutoPractice","","2026-05-10","broken","2026-05-10","","Autopractice.spec.js","",""
"","716","Verify token is generated & inserted","","2026-05-10","passed","2026-05-10","","webapi.spec.js","",""
"","51165","login test for standard_user","","2026-05-10","broken","2026-05-10","Login test","test1.spec.js","",""
"","2713","Login testing","","2026-05-10","passed","2026-05-10","","login.spec.js","",""
"","16276","testing","","2026-05-10","passed","2026-05-10","","demoqa.spec.js","",""
"","3483","Testing Practice","","2026-05-10","passed","2026-05-10","","internet.spec.js","",""
"","5546","Practice1 test","","2026-05-10","passed","2026-05-10","","practice1.spec.js","",""
"","51174","login test for problem_user","","2026-05-10","broken","2026-05-10","Login test","test1.spec.js","",""
"","712","login test for locked_out_user","","2026-05-10","passed","2026-05-10","Login test","test1.spec.js","",""
"","1032","@API","","2026-05-10","failed","2026-05-10","","api.spec.js","",""
"","527","Api testing with post","","2026-05-10","passed","2026-05-10","","getapi.spec.js","",""
"","50452","Rahul testing EtoE","","2026-05-10","broken","2026-05-10","","rahul.spec.js","",""
"","518","E2E flow test","","2026-05-10","failed","2026-05-10","","E2E.spec.js","",""
"","7010","The Internet practice test","","2026-05-10","passed","2026-05-10","","theinternet.spec.js","",""
"","118","seed","","2026-05-10","passed","2026-05-10","Test group","seed.spec.ts","",""
